,State,Population
0,Alabama,4903185
1,Alaska,740995
2,American Samoa,55641
3,Arizona,7278717
4,Arkansas,3017804
5,California,39512223
6,Colorado,5758736
7,Connecticut,3565287
8,Delaware,973764
9,Diamond Princess,0
10,District of Columbia,705749
11,Florida,21477737
12,Georgia,10617423
13,Grand Princess,0
14,Guam,164229
15,Hawaii,1415872
16,Idaho,1787065
17,Illinois,12671821
18,Indiana,6732219
19,Iowa,3155070
20,Kansas,2913314
21,Kentucky,4467673
22,Louisiana,4648794
23,Maine,1344212
24,Maryland,6045680
25,Massachusetts,6892503
26,Michigan,9986857
27,Minnesota,5639632
28,Mississippi,2976149
29,Missouri,6626371
30,Montana,1068778
31,Nebraska,1934408
32,Nevada,3080156
33,New Hampshire,1359711
34,New Jersey,8882190
35,New Mexico,2096829
36,New York,19453561
37,North Carolina,10488084
38,North Dakota,762062
39,Northern Mariana Islands,55144
40,Ohio,11689100
41,Oklahoma,3956971
42,Oregon,4217737
43,Pennsylvania,12801989
44,Puerto Rico,3754939
45,Rhode Island,1059361
46,South Carolina,5148714
47,South Dakota,884659
48,Tennessee,6829174
49,Texas,28995881
50,Utah,3205958
51,Vermont,623989
52,Virgin Islands,107268
53,Virginia,8535519
54,Washington,7614893
55,West Virginia,1792147
56,Wisconsin,5822434
57,Wyoming,578759
